index,origin,destination,time
0,zone_1,zone_278,648.7652033567429
1,zone_1,zone_298,1013.9608538150787
2,zone_1,zone_352,1048.3225101232529
3,zone_1,zone_513,1534.5110439062119
4,zone_1,zone_565,1029.0648671388626
5,zone_1,zone_658,279.53369414806366
6,zone_1,zone_71,185.29619193077087
8,zone_10,zone_20,214.97750914096832
9,zone_10,zone_34,187.65768206119537
10,zone_10,zone_41,161.9505376815796
11,zone_10,zone_49,250.43782579898834
12,zone_100,zone_154,446.02623665332794
13,zone_100,zone_236,253.5318022966385
14,zone_100,zone_24,205.80516648292542
15,zone_100,zone_34,223.43968558311462
16,zone_100,zone_391,705.9963546991348
17,zone_100,zone_396,150.4707270860672
18,zone_100,zone_421,382.57156932353973
19,zone_100,zone_5,300.41046392917633
20,zone_100,zone_50,122.6544908285141
21,zone_100,zone_650,673.8467794656754
22,zone_100,zone_71,290.03893089294434
23,zone_100,zone_75,359.2670637369156
24,zone_100,zone_92,115.85693359375
25,zone_100,zone_96,110.17482554912567
389,zone_101,zone_211,112.41962623596191
390,zone_101,zone_213,444.2545621395111
391,zone_101,zone_215,120.23383820056915
392,zone_101,zone_226,115.74335253238678
393,zone_101,zone_23,238.80606746673584
394,zone_101,zone_237,166.79945957660675
395,zone_101,zone_243,219.6280393600464
396,zone_101,zone_29,202.54495763778687
397,zone_101,zone_293,615.3697774410248
398,zone_101,zone_30,191.96024596691132
399,zone_101,zone_307,900.6964857578278
400,zone_101,zone_347,656.1288692951202
401,zone_101,zone_393,141.90644717216492
402,zone_101,zone_396,209.6004284620285
403,zone_101,zone_41,182.48358845710754
404,zone_101,zone_414,436.95972287654877
405,zone_101,zone_43,170.0620950460434
406,zone_101,zone_49,117.03641521930695
407,zone_101,zone_494,1489.489649772644
408,zone_101,zone_529,1094.678483247757
409,zone_101,zone_726,1068.0166738033295
410,zone_101,zone_79,223.39172649383545
411,zone_101,zone_8,308.0879385471344
413,zone_101,zone_88,181.96192729473114
415,zone_101,zone_97,90.7800520658493
685,zone_103,zone_100,56.566025495529175
686,zone_103,zone_101,106.15970289707184
687,zone_103,zone_105,109.5774120092392
688,zone_103,zone_106,68.30505573749542
689,zone_103,zone_12,302.00969994068146
691,zone_103,zone_183,766.6664831638336
692,zone_103,zone_190,658.0066331624985
693,zone_103,zone_191,721.4818994998932
694,zone_103,zone_20,218.54631304740906
695,zone_103,zone_22,282.54240703582764
696,zone_103,zone_226,141.46318399906158
697,zone_103,zone_249,667.9704698324203
698,zone_103,zone_35,227.68278753757477
699,zone_103,zone_38,201.4330072402954
700,zone_103,zone_398,175.99604451656342
701,zone_103,zone_414,345.9128407239914
702,zone_103,zone_420,389.1311457157135
703,zone_103,zone_433,506.91453659534454
704,zone_103,zone_48,172.49549651145935
705,zone_103,zone_49,154.7734593153
706,zone_103,zone_622,1051.9395781755447
707,zone_103,zone_7,350.2316515445709
708,zone_103,zone_71,328.77070808410645
709,zone_103,zone_711,918.6986166238785
710,zone_103,zone_73,298.39348542690277
712,zone_103,zone_90,162.2804877758026
713,zone_103,zone_97,107.74834382534027
898,zone_104,zone_101,176.81237089633942
899,zone_104,zone_103,87.49348032474518
900,zone_104,zone_165,590.4949020147324
901,zone_104,zone_202,714.4454644918442
902,zone_104,zone_290,599.8649735450745
903,zone_104,zone_292,557.0166938304901
904,zone_104,zone_378,396.0173237323761
905,zone_104,zone_396,116.84480118751526
906,zone_104,zone_398,194.9847992658615
907,zone_104,zone_416,369.739204287529
908,zone_104,zone_747,1328.9004919528961
1001,zone_105,zone_103,75.31928420066833
1002,zone_105,zone_106,126.78352761268616
1003,zone_105,zone_439,559.4786911010742
1004,zone_105,zone_684,718.9365304708481
1233,zone_106,zone_101,104.30456113815308
1234,zone_106,zone_103,65.59719860553741
1235,zone_106,zone_105,136.4407445192337
1236,zone_106,zone_137,759.4814451932907
1237,zone_106,zone_154,507.37642562389374
1239,zone_106,zone_181,412.3050446510315
1240,zone_106,zone_201,333.59690511226654
1241,zone_106,zone_206,311.7105042934418
1242,zone_106,zone_219,342.91011130809784
1243,zone_106,zone_225,294.0027060508728
1244,zone_106,zone_226,139.60804224014282
1245,zone_106,zone_285,496.1071197986603
1246,zone_106,zone_301,1038.3735673427582
1247,zone_106,zone_358,695.6863439083099
1248,zone_106,zone_364,341.51486361026764
1249,zone_106,zone_389,642.3498405218124
1250,zone_106,zone_395,97.37853693962097
1251,zone_106,zone_407,303.2351830005646
1252,zone_106,zone_41,218.36549079418182
1253,zone_106,zone_441,652.6754987239838
1254,zone_106,zone_455,708.7347956895828
1255,zone_106,zone_49,152.91831755638123
1256,zone_106,zone_523,1548.0274341106415
1257,zone_106,zone_580,1014.0046521425247
1258,zone_106,zone_586,1072.165323972702
1259,zone_106,zone_612,939.5090987682343
1260,zone_106,zone_651,464.9313532114029
1261,zone_106,zone_695,696.0779956579208
1262,zone_106,zone_726,1081.088448882103
1263,zone_106,zone_768,1396.961237192154
1266,zone_106,zone_97,105.89320206642151
1595,zone_107,zone_1,735.0319555997849
1596,zone_107,zone_143,547.7297992706299
1597,zone_107,zone_188,809.0851755142212
1598,zone_107,zone_194,941.6465389728546
1599,zone_107,zone_21,748.9281320571899
1600,zone_107,zone_22,749.5714663267136
1601,zone_107,zone_29,804.9815043210983
1602,zone_107,zone_34,811.9610880613327
1603,zone_107,zone_433,1289.1073764562607
1604,zone_107,zone_45,867.6456953287125
1605,zone_107,zone_50,861.9451776742935
1606,zone_107,zone_543,1723.09188246727
1607,zone_107,zone_633,850.9620348215103
1608,zone_107,zone_678,518.4761762619019
1609,zone_107,zone_682,369.8306370973587
1610,zone_107,zone_716,366.2126578092575
1611,zone_107,zone_724,275.62275099754333
1612,zone_107,zone_730,716.4659759998322
1613,zone_107,zone_741,870.7914034128189
1614,zone_107,zone_75,798.8450496196747
1615,zone_107,zone_8,692.3984031677246
1616,zone_107,zone_9,710.3219031095505
1617,zone_107,zone_90,873.3973579406738
2126,zone_108,zone_109,167.74411714076996
2127,zone_108,zone_110,104.3434249162674
2128,zone_108,zone_129,534.5560966730118
2129,zone_108,zone_146,635.6908601522446
2130,zone_108,zone_162,590.5346704721451
2131,zone_108,zone_1678,1099.018278837204
2132,zone_108,zone_178,849.1716800928116
2133,zone_108,zone_190,786.9198150634766
2134,zone_108,zone_20,779.472190618515
2135,zone_108,zone_204,781.0481247901917
2136,zone_108,zone_210,903.7260544300079
2137,zone_108,zone_279,1177.7416796684265
2138,zone_108,zone_29,732.2986849546432
2139,zone_108,zone_311,1137.3709025382996
2140,zone_108,zone_34,739.2782686948776
2141,zone_108,zone_348,1266.4783698320389
2142,zone_108,zone_352,1360.1988888978958
2143,zone_108,zone_36,761.2084602117538
2144,zone_108,zone_389,1397.1973108053207
2145,zone_108,zone_39,759.0756651163101
2146,zone_108,zone_477,1856.7136043310165
2147,zone_108,zone_52,574.9944729804993
2148,zone_108,zone_544,1578.0978685617447
2149,zone_108,zone_58,622.9564584493637
2150,zone_108,zone_602,810.9456897974014
2151,zone_108,zone_609,997.512558221817
2152,zone_108,zone_617,872.7664840221405
2153,zone_108,zone_661,625.1627787351608
2154,zone_108,zone_677,430.81865322589874
2155,zone_108,zone_680,239.3924741744995
2156,zone_108,zone_684,231.0756552219391
2157,zone_108,zone_691,393.73990619182587
2158,zone_108,zone_707,445.48061060905457
2159,zone_108,zone_711,413.6960691213608
2160,zone_108,zone_715,418.4841215610504
2161,zone_108,zone_716,258.1471508741379
2162,zone_108,zone_720,533.5791430473328
2163,zone_108,zone_725,321.8648730516434
2164,zone_108,zone_734,730.1341880559921
2165,zone_108,zone_79,751.3646115064621
2166,zone_108,zone_819,1497.8653975725174
2167,zone_108,zone_9,637.6390837430954
2533,zone_109,zone_1,562.392655134201
2534,zone_109,zone_10,513.9815332889557
2535,zone_109,zone_108,167.74411714076996
2536,zone_109,zone_110,122.5346291065216
2537,zone_109,zone_111,215.5091733932495
2538,zone_109,zone_112,120.34284842014313
2539,zone_109,zone_113,138.17057716846466
2540,zone_109,zone_114,158.9158273935318
2541,zone_109,zone_115,280.69577848911285
2542,zone_109,zone_116,320.47862553596497
2543,zone_109,zone_117,273.93770265579224
2544,zone_109,zone_122,369.5359945297241
2545,zone_109,zone_127,436.61040925979614
2549,zone_109,zone_14,537.6825177669525
2551,zone_109,zone_15,550.6612855195999
2552,zone_109,zone_154,328.3189870119095
2554,zone_109,zone_162,490.57818937301636
2555,zone_109,zone_1677,1012.4415811300278
2556,zone_109,zone_172,553.9146671295166
2557,zone_109,zone_184,639.1697368621826
2558,zone_109,zone_194,762.1168165206909
2559,zone_109,zone_20,679.5157095193863
2560,zone_109,zone_23,575.6082952022552
2561,zone_109,zone_30,607.8319389820099
2562,zone_109,zone_311,1037.4144214391708
2563,zone_109,zone_34,639.3217875957489
2564,zone_109,zone_433,1116.4680759906769
2565,zone_109,zone_435,1098.7465813159943
2566,zone_109,zone_44,646.2046319246292
2567,zone_109,zone_501,1686.1428498029709
2568,zone_109,zone_53,463.98883986473083
2569,zone_109,zone_59,516.2289500236511
2570,zone_109,zone_633,671.4323123693466
2571,zone_109,zone_649,899.4471069574356
2572,zone_109,zone_655,464.76200890541077
2573,zone_109,zone_661,525.2062976360321
2574,zone_109,zone_684,131.61546432971954
2575,zone_109,zone_690,537.5301284790039
2576,zone_109,zone_691,293.78342509269714
2577,zone_109,zone_696,368.9273661375046
2578,zone_109,zone_70,578.7535201311111
2579,zone_109,zone_702,455.14597618579865
2580,zone_109,zone_710,347.82272815704346
2581,zone_109,zone_712,399.76278841495514
2582,zone_109,zone_719,283.2324467897415
2583,zone_109,zone_722,350.8562738895416
2584,zone_109,zone_724,314.6093374490738
2585,zone_109,zone_725,406.53714859485626
2586,zone_109,zone_727,727.1817398071289
2587,zone_109,zone_733,830.9189294576645
2588,zone_109,zone_79,651.4081304073334
2589,zone_109,zone_8,519.7591027021408
2590,zone_109,zone_80,651.6691282987595
2591,zone_109,zone_85,717.960211277008
2592,zone_109,zone_9,537.6826026439667
2593,zone_109,zone_96,660.1541464328766
2887,zone_11,zone_12,72.21922826766968
2888,zone_11,zone_20,230.88100862503052
2889,zone_11,zone_310,820.7572404146194
2890,zone_11,zone_458,943.4510229825974
2891,zone_11,zone_472,1113.732035279274
2892,zone_11,zone_600,1092.0061997175217
2893,zone_11,zone_747,1174.5324932336807
2895,zone_110,zone_1,615.0239394903183
2896,zone_110,zone_100,778.109093785286
2898,zone_110,zone_108,120.88667631149292
2899,zone_110,zone_111,118.18589758872986
2900,zone_110,zone_112,140.88583409786224
2901,zone_110,zone_113,218.6359919309616
2902,zone_110,zone_116,414.4703288078308
2903,zone_110,zone_121,468.9876037836075
2905,zone_110,zone_154,394.751139998436
2906,zone_110,zone_169,612.6782429218292
2907,zone_110,zone_177,739.6529815196991
2908,zone_110,zone_181,602.3224560022354
2910,zone_110,zone_188,723.5471563339233
2911,zone_110,zone_19,612.1260328292847
2912,zone_110,zone_20,732.1469938755035
2913,zone_110,zone_204,775.0833469629288
2914,zone_110,zone_206,848.7357307672501
2915,zone_110,zone_22,629.563450217247
2916,zone_110,zone_24,644.7764576673508
2917,zone_110,zone_252,974.6418181657791
2918,zone_110,zone_30,660.4632233381271
2919,zone_110,zone_305,1044.4459700584412
2920,zone_110,zone_31,733.6067645549774
2921,zone_110,zone_310,1052.3169969320297
2922,zone_110,zone_32,666.75364112854
2923,zone_110,zone_33,673.6438045501709
2924,zone_110,zone_34,691.9530719518661
2925,zone_110,zone_38,701.1431691646576
2926,zone_110,zone_397,778.7983123064041
2927,zone_110,zone_398,900.9469438791275
2928,zone_110,zone_399,822.7457801103592
2929,zone_110,zone_400,920.5513308048248
2930,zone_110,zone_439,1253.4807201623917
